County_name,date,white,black,asian,american_indian,nh_pi,two_plus,other,unknown_race,hispanic,non-hispanic,unknown_ethnicity,total
Alachua County,2020-11-07,5799,2411,-,-,-,-,1166,1611,1456,7713,1818,10987
Baker County,2020-11-07,996,243,-,-,-,-,60,540,20,1151,668,1839
Bay County,2020-11-07,4148,680,-,-,-,-,886,1164,536,4804,1538,6878
Bradford County,2020-11-07,854,293,-,-,-,-,58,53,34,1173,51,1258
Brevard County,2020-11-07,6800,1370,-,-,-,-,1026,3310,1358,7307,3841,12506
Broward County,2020-11-07,40139,22195,-,-,-,-,13080,13920,34567,41588,13179,89334
Calhoun County,2020-11-07,506,109,-,-,-,-,56,81,29,615,108,752
Charlotte County,2020-11-07,2990,247,-,-,-,-,337,363,305,3112,520,3937
Citrus County,2020-11-07,2817,194,-,-,-,-,247,220,176,2973,329,3478
Clay County,2020-11-07,3916,913,-,-,-,-,518,1101,594,4643,1211,6448
Collier County,2020-11-07,7997,862,-,-,-,-,1636,4461,5532,5098,4326,14956
Columbia County,2020-11-07,2691,1265,-,-,-,-,191,214,264,3824,273,4361
Dade County,2020-11-07,83866,16421,-,-,-,-,26795,63994,97302,28812,64962,191076
Desoto County,2020-11-07,1061,183,-,-,-,-,136,334,757,572,385,1714
Dixie County,2020-11-07,677,188,-,-,-,-,30,23,55,824,39,918
Duval County,2020-11-07,11432,11151,-,-,-,-,4199,9258,3091,21818,11131,36040
Escambia County,2020-11-07,5290,2684,-,-,-,-,1554,3218,434,8618,3694,12746
Flagler County,2020-11-07,1344,315,-,-,-,-,391,194,304,1704,236,2244
Franklin County,2020-11-07,510,233,-,-,-,-,22,20,67,642,76,785
Gadsden County,2020-11-07,936,1304,-,-,-,-,578,266,585,2104,395,3084
Gilchrist County,2020-11-07,472,41,-,-,-,-,32,79,84,454,86,624
Glades County,2020-11-07,449,115,-,-,-,-,35,27,239,356,31,626
Gulf County,2020-11-07,651,282,-,-,-,-,17,20,43,877,50,970
Hamilton County,2020-11-07,407,434,-,-,-,-,62,12,118,663,134,915
Hardee County,2020-11-07,1172,131,-,-,-,-,229,106,965,552,121,1638
Hendry County,2020-11-07,1791,263,-,-,-,-,110,121,1492,697,96,2285
Hernando County,2020-11-07,3075,324,-,-,-,-,517,30,699,3195,52,3946
Highlands County,2020-11-07,1739,381,-,-,-,-,427,346,739,1710,444,2893
Hillsborough County,2020-11-07,19535,6393,-,-,-,-,7216,16931,12959,18175,18941,50075
Holmes County,2020-11-07,738,88,-,-,-,-,55,81,35,796,131,962
Indian River County,2020-11-07,2410,458,-,-,-,-,384,842,787,2309,998,4094
Jackson County,2020-11-07,1556,631,-,-,-,-,154,926,115,1737,1415,3267
Jefferson County,2020-11-07,289,340,-,-,-,-,42,18,33,607,49,689
Lafayette County,2020-11-07,880,350,-,-,-,-,40,20,156,1051,83,1290
Lake County,2020-11-07,3894,1075,-,-,-,-,1742,2354,1518,4892,2655,9065
Lee County,2020-11-07,11831,2195,-,-,-,-,1442,8772,5323,9832,9085,24240
Leon County,2020-11-07,5067,3181,-,-,-,-,1660,2575,1097,7168,4218,12483
Levy County,2020-11-07,727,181,-,-,-,-,188,91,232,839,116,1187
Liberty County,2020-11-07,368,126,-,-,-,-,29,25,30,400,118,548
Madison County,2020-11-07,359,639,-,-,-,-,56,35,55,942,92,1089
Manatee County,2020-11-07,7651,1324,-,-,-,-,2285,2576,3917,6931,2988,13836
Marion County,2020-11-07,7499,2058,-,-,-,-,983,714,1527,8622,1105,11254
Martin County,2020-11-07,2640,282,-,-,-,-,1204,1374,1913,2391,1196,5500
Monroe County,2020-11-07,1858,181,-,-,-,-,100,345,875,1211,398,2484
Nassau County,2020-11-07,1933,228,-,-,-,-,109,124,105,2135,154,2394
Okaloosa County,2020-11-07,3490,557,-,-,-,-,1367,1483,704,4706,1487,6897
Okeechobee County,2020-11-07,1275,220,-,-,-,-,201,101,686,1009,102,1797
Orange County,2020-11-07,17591,7648,-,-,-,-,10275,12524,13677,16870,17491,48038
Osceola County,2020-11-07,5890,942,-,-,-,-,4693,3300,7978,3342,3505,14825
Palm Beach County,2020-11-07,23197,8363,-,-,-,-,9623,13288,14786,25003,14682,54471
Pasco County,2020-11-07,8395,800,-,-,-,-,1689,690,2706,7965,903,11574
Pinellas County,2020-11-07,17626,4467,-,-,-,-,2559,2497,3190,19037,4922,27149
Polk County,2020-11-07,14053,4155,-,-,-,-,2021,3597,6937,12305,4584,23826
Putnam County,2020-11-07,1512,661,-,-,-,-,237,54,474,1907,83,2464
Santa Rosa County,2020-11-07,4253,614,-,-,-,-,381,880,271,4852,1005,6128
Sarasota County,2020-11-07,5952,738,-,-,-,-,1119,2377,1413,5838,2935,10186
Seminole County,2020-11-07,7174,1352,-,-,-,-,1515,769,2845,7184,781,10810
St. Johns County,2020-11-07,5051,499,-,-,-,-,477,837,585,5271,1008,6864
St. Lucie County,2020-11-07,4118,2151,-,-,-,-,1277,1904,2126,4988,2336,9450
Sumter County,2020-11-07,1603,508,-,-,-,-,157,789,152,1822,1083,3057
Suwannee County,2020-11-07,1877,604,-,-,-,-,432,131,538,2299,207,3044
Taylor County,2020-11-07,825,569,-,-,-,-,81,51,131,1305,90,1526
Union County,2020-11-07,810,309,-,-,-,-,37,19,39,1122,14,1175
Volusia County,2020-11-07,6765,1676,-,-,-,-,2632,2379,2178,8241,3033,13452
Wakulla County,2020-11-07,937,235,-,-,-,-,103,91,63,1165,138,1366
Walton County,2020-11-07,1759,230,-,-,-,-,113,572,356,1754,564,2674
Washington County,2020-11-07,802,282,-,-,-,-,54,147,38,859,388,1285
