County_name,date,white,black,asian,american_indian,nh_pi,two_plus,other,unknown_race,hispanic,non-hispanic,unknown_ethnicity,total
Alachua County,2020-11-08,5821,2418,-,-,-,-,1169,1620,1458,7749,1821,11028
Baker County,2020-11-08,999,245,-,-,-,-,60,540,20,1155,669,1844
Bay County,2020-11-08,4164,684,-,-,-,-,890,1170,536,4827,1545,6908
Bradford County,2020-11-08,860,293,-,-,-,-,58,54,34,1179,52,1265
Brevard County,2020-11-08,6842,1371,-,-,-,-,1036,3365,1365,7363,3886,12614
Broward County,2020-11-08,40637,22311,-,-,-,-,13225,13980,34938,42012,13203,90153
Calhoun County,2020-11-08,509,109,-,-,-,-,56,81,29,618,108,755
Charlotte County,2020-11-08,3016,248,-,-,-,-,339,376,309,3132,538,3979
Citrus County,2020-11-08,2890,204,-,-,-,-,252,221,191,3037,339,3567
Clay County,2020-11-08,3938,916,-,-,-,-,521,1118,598,4665,1230,6493
Collier County,2020-11-08,8042,865,-,-,-,-,1644,4494,5546,5142,4357,15045
Columbia County,2020-11-08,2697,1267,-,-,-,-,192,214,264,3833,273,4370
Dade County,2020-11-08,85009,16512,-,-,-,-,27111,64119,98609,29196,64946,192751
Desoto County,2020-11-08,1068,182,-,-,-,-,137,335,757,576,389,1722
Dixie County,2020-11-08,677,188,-,-,-,-,30,23,55,825,38,918
Duval County,2020-11-08,11510,11201,-,-,-,-,4226,9296,3111,21927,11195,36233
Escambia County,2020-11-08,5361,2700,-,-,-,-,1572,3210,438,8711,3694,12843
Flagler County,2020-11-08,1360,318,-,-,-,-,394,195,306,1723,238,2267
Franklin County,2020-11-08,512,233,-,-,-,-,22,20,67,644,76,787
Gadsden County,2020-11-08,938,1306,-,-,-,-,578,265,585,2109,393,3087
Gilchrist County,2020-11-08,475,42,-,-,-,-,32,79,84,458,86,628
Glades County,2020-11-08,449,115,-,-,-,-,35,27,239,356,31,626
Gulf County,2020-11-08,660,283,-,-,-,-,17,21,43,887,51,981
Hamilton County,2020-11-08,410,434,-,-,-,-,62,12,118,666,134,918
Hardee County,2020-11-08,1179,131,-,-,-,-,230,107,972,554,121,1647
Hendry County,2020-11-08,1794,263,-,-,-,-,111,123,1495,699,97,2291
Hernando County,2020-11-08,3102,327,-,-,-,-,527,39,704,3222,69,3995
Highlands County,2020-11-08,1771,384,-,-,-,-,429,347,742,1745,444,2931
